"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,,"Q2 2021","1,270","432","838","152","133","553"
,,"Q3 2021","1,224","491","733","70","104","559"
,,"Q4 2021","1,099","333","766","64","177","525"
,,"Q1 2022","416","77","339","12","22","305"
,,"Q2 2022","1,419","375","1,044","78","189","777"
,,"Q3 2022","1,589","520","1,069","50","133","886"
,,"Q4 2022","1,256","429","827","28","122","677"
,,"Q1 2023","360","260","100","4","37","59"
,,"Q2 2023","1,223","367","856","70","145","641"
,,"Q3 2023","1,562","362","1,200","68","144","988"
,,"Q4 2023","1,402","408","994","60","261","673"
,,"Q1 2024","750","196","554","22","65","467"
,,"Q2 2024","1,608","392","1,216","133","194","889"
,,"Q3 2024","2,158","553","1,605","82","139","1,384"
,,"Q4 2024","1,653","433","1,220","96","175","949"
,,"Q1 2025","1,053","250","803","29","28","746"
,,"Q2 2025","1,829","375","1,454","133","247","1,074"
,,"Q3 2025","2,557","637","1,920","143","206","1,571"
"Quebec",,"Q1 2010","9,045","2,863","6,182","838","413","4,931"
,,"Q2 2010","15,922","6,765","9,157","1,655","694","6,808"
,,"Q3 2010","13,423","5,639","7,784","832","389","6,563"
,,"Q4 2010","12,973","4,282","8,691","1,034","533","7,124"
,,"Q1 2011","8,081","2,364","5,717","629","433","4,655"
,,"Q2 2011","14,150","5,540","8,610","1,381","589","6,640"
,,"Q3 2011","13,051","4,586","8,465","910","419","7,136"
,,"Q4 2011","13,105","4,064","9,041","1,082","414","7,545"
,,"Q1 2012","6,951","2,185","4,766","571","404","3,791"
,,"Q2 2012","15,102","5,375","9,727","1,395","542","7,790"
,,"Q3 2012","13,113","4,761","8,352","883","445","7,024"
,,"Q4 2012","12,201","3,738","8,463","1,017","513","6,933"
,,"Q1 2013","5,784","1,696","4,088","400","206","3,482"
,,"Q2 2013","11,421","4,608","6,813","1,104","354","5,355"
,,"Q3 2013","9,892","3,730","6,162","681","163","5,318"
,,"Q4 2013","10,661","3,110","7,551","650","398","6,503"
,,"Q1 2014","6,420","1,397","5,023","575","206","4,242"
,,"Q2 2014","11,380","3,716","7,664","1,046","416","6,202"
,,"Q3 2014","9,940","3,441","6,499","706","360","5,433"
,,"Q4 2014","11,070","2,673","8,397","756","415","7,226"
,,"Q1 2015","4,474","1,010","3,464","374","143","2,947"
,,"Q2 2015","10,569","3,169","7,400","1,015","410","5,975"
,,"Q3 2015","12,311","3,031","9,280","648","325","8,307"
,,"Q4 2015","10,572","2,488","8,084","613","367","7,104"
,,"Q1 2016","5,932","1,233","4,699","451","215","4,033"
,,"Q2 2016","10,676","3,229","7,447","941","620","5,886"
,,"Q3 2016","11,515","3,279","8,236","644","492","7,100"
,,"Q4 2016","10,812","2,996","7,816","725","610","6,481"
,,"Q1 2017","7,423","1,108","6,315","485","280","5,550"
,,"Q2 2017","11,309","3,390","7,919","986","616","6,317"
,,"Q3 2017","12,836","3,419","9,417","665","476","8,276"
,,"Q4 2017","14,927","2,794","12,133","683","462","10,988"
,,"Q1 2018","7,463","1,106","6,357","515","330","5,512"
,,"Q2 2018","14,673","3,479","11,194","1,157","631","9,406"
,,"Q3 2018","9,758","2,485","7,273","609","420","6,244"
,,"Q4 2018","14,980","2,990","11,990","714","532","10,744"
,,"Q1 2019","7,841","918","6,923","439","219","6,265"
,,"Q2 2019","14,519","2,575","11,944","915","600","10,429"
,,"Q3 2019","12,804","3,244","9,560","749","388","8,423"
,,"Q4 2019","12,803","2,252","10,551","863","580","9,108"
,,"Q1 2020","8,971","1,185","7,786","549","306","6,931"
,,"Q2 2020","12,804","2,757","10,047","921","377","8,749"
,,"Q3 2020","15,145","3,030","12,115","830","514","10,771"
,,"Q4 2020","17,146","3,889","13,257","1,214","423","11,620"
,,"Q1 2021","14,476","2,649","11,827","1,044","461","10,322"
,,"Q2 2021","20,196","4,803","15,393","1,314","705","13,374"
,,"Q3 2021","15,755","3,431","12,324","812","432","11,080"
,,"Q4 2021","17,383","3,943","13,440","1,005","492","11,943"
,,"Q1 2022","11,818","2,012","9,806","720","340","8,746"
